County Aged Blind Disabled Children Parents Other NonTraditional Adult_Group Total_Enrollment Pre_Katrina_Enrollment Net_Change_in_Enrollment_Post_Katrina Change_in_Enrollment_Post_Katrina FP Buy_In  Children Parents
LaSalle 225 4 476 2,049 378 403 0 1,366 4,901 2,892 2,009 69.47% 0.00% 8.22% 41.81% 7.71%
Lincoln 546 34 1,451 5,932 846 776 1 4,442 14,028 8,628 5,400 62.59% 0.01% 5.53% 42.29% 6.03%
Livingston 821 15 2,616 17,802 2,858 2,561 7 10,460 37,140 18,394 18,746 101.91% 0.02% 6.90% 47.93% 7.70%
Madison 215 8 629 2,491 365 363 0 1,835 5,906 4,617 1,289 27.92% 0.00% 6.15% 42.18% 6.18%
Morehouse 621 16 1,590 5,267 802 1,116 1 4,030 13,443 9,111 4,332 47.55% 0.01% 8.30% 39.18% 5.97%
Natchitoches 684 16 1,854 6,326 843 1,106 0 3,985 14,814 9,409 5,405 57.44% 0.00% 7.47% 42.70% 5.69%
Orleans 6,054 112 18,349 56,678 9,766 12,664 2 53,294 156,919 134,249 22,670 16.89% 0.00% 8.07% 36.12% 6.22%
Ouachita 1,901 76 6,791 26,627 3,893 3,804 10 18,541 61,643 34,559 27,084 78.37% 0.02% 6.17% 43.20% 6.32%
Plaquemines 240 2 521 3,059 472 406 0 1,918 6,618 5,389 1,229 22.81% 0.00% 6.13% 46.22% 7.13%
Pointe_Coupee 437 8 841 3,112 467 659 0 2,042 7,566 5,441 2,125 39.06% 0.00% 8.71% 41.13% 6.17%
Rapides 1,938 46 7,022 21,768 3,143 3,767 1 12,668 50,353 32,556 17,797 54.67% 0.00% 7.48% 43.23% 6.24%
Red_River 193 9 383 1,617 230 295 0 1,082 3,809 2,500 1,309 52.36% 0.00% 7.74% 42.45% 6.04%
Richland 439 12 1,006 3,762 534 758 3 2,894 9,408 6,228 3,180 51.06% 0.03% 8.06% 39.99% 5.68%
Sabine 345 13 935 3,661 617 704 0 2,353 8,628 4,984 3,644 73.11% 0.00% 8.16% 42.43% 7.15%
St_Bernard 339 6 1,655 8,385 1,365 1,250 0 5,419 18,419 12,214 6,205 50.80% 0.00% 6.79% 45.52% 7.41%
St_Charles 360 5 1,140 6,445 944 903 1 3,781 13,579 8,358 5,221 62.47% 0.01% 6.65% 47.46% 6.95%
St_Helena 159 4 367 1,384 223 305 0 927 3,369 2,746 623 22.69% 0.00% 9.05% 41.08% 6.62%
St_James 234 10 660 2,978 530 599 0 2,004 7,015 4,770 2,245 47.06% 0.00% 8.54% 42.45% 7.56%
St_John 418 10 1,736 7,856 1,285 1,238 0 4,962 17,505 10,601 6,904 65.13% 0.00% 7.07% 44.88% 7.34%
St_Landry 1,981 51 4,825 17,664 2,571 3,074 0 10,810 40,976 26,207 14,769 56.36% 0.00% 7.50% 43.11% 6.27%
St_Martin 699 18 1,550 8,293 1,223 1,475 0 5,193 18,451 11,755 6,696 56.96% 0.00% 7.99% 44.95% 6.63%
St_Mary 657 21 2,215 9,483 1,674 1,636 0 6,785 22,471 14,856 7,615 51.26% 0.00% 7.28% 42.20% 7.45%
St_Tammany 1,618 20 4,933 27,705 3,860 4,289 7 17,696 60,128 28,894 31,234 108.10% 0.01% 7.13% 46.08% 6.42%
Tangipahoa 1,766 51 5,336 23,912 3,755 4,036 2 15,023 53,881 29,280 24,601 84.02% 0.00% 7.49% 44.38% 6.97%
Tensas 128 4 314 829 136 209 0 676 2,296 2,044 252 12.33% 0.00% 9.10% 36.11% 5.92%
Terrebonne 1,137 34 4,660 18,456 3,184 3,370 4 11,769 42,614 23,648 18,966 80.20% 0.01% 7.91% 43.31% 7.47%
Union 331 9 882 3,804 594 768 0 2,613 9,001 4,963 4,038 81.36% 0.00% 8.53% 42.26% 6.60%
Vermilion 778 10 1,828 9,204 1,371 1,572 1 5,961 20,725 11,153 9,572 85.82% 0.00% 7.59% 44.41% 6.62%
Vernon 333 15 1,190 5,844 971 926 0 3,506 12,785 7,787 4,998 64.18% 0.00% 7.24% 45.71% 7.59%
West_Feliciana 239 5 331 1,249 188 213 0 1,020 3,245 1,780 1,465 82.30% 0.00% 6.56% 38.49% 5.79%
Washington 907 19 2,622 8,530 1,340 2,087 0 5,897 21,402 13,204 8,198 62.09% 0.00% 9.75% 39.86% 6.26%
West_Baton_Rouge 232 11 738 3,564 532 577 0 2,199 7,853 4,151 3,702 89.18% 0.00% 7.35% 45.38% 6.77%
Webster 674 28 1,861 6,367 1,071 1,343 1 4,678 16,023 9,721 6,302 64.83% 0.01% 8.38% 39.74% 6.68%
West_Carroll 238 3 429 1,936 343 509 1 1,464 4,923 3,612 1,311 36.30% 0.02% 10.34% 39.33% 6.97%
Winn 267 7 563 2,195 356 471 0 1,453 5,312 3,843 1,469 38.23% 0.00% 8.87% 41.32% 6.70%
